City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
55,Richmond Heights,US,82.42,clear sky,41.5528,-81.5101,American Motel
57,Weligama,LK,79.81,light rain,5.9667,80.4167,Weligama Bay Resort
58,Lander,US,82.11,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
60,Seoni Malwa,IN,80.29,overcast clouds,22.45,77.4667,hotel naman residency
61,Madhupur,IN,83.8,overcast clouds,24.25,86.65,Hotel Kumar International
63,Sola,VU,81.18,light rain,-13.8833,167.55,Leumerus Bungalows
64,Manga,BF,84.85,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
65,Singapore,SG,80.51,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
66,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
67,Ranaghat,IN,81.21,broken clouds,23.1833,88.5833,Pole Star Caterer
68,Cockburn Town,TC,81.77,few clouds,21.4612,-71.1419,Osprey Beach Hotel
69,Sungairaya,ID,79.36,light rain,0.7,108.9,Rumah Kuku Moimoi Shelly
70,Carbonia,IT,79.02,clear sky,39.1672,8.5222,Lu 'Hotel
71,Butaritari,KI,82.98,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
72,Satao,PT,81.03,clear sky,40.7418,-7.7329,Centro de Cuidados Continuados
73,Hingoli,IN,79.16,moderate rain,19.7167,77.15,Hotel RW International
74,Faanui,PF,78.85,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Loreto,MX,79.36,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
76,Broome,US,79.92,few clouds,42.2506,-75.833,Chenango Valley State Park
77,Nalchiti,BD,80.87,overcast clouds,22.6333,90.2833,Al Madina plazza
78,Mata,PT,86.59,clear sky,40.683,-7.4592,Hostel EntryFik
79,Havelock,US,82.35,overcast clouds,34.8791,-76.9013,Sherwood Motel
80,Gushikawa,JP,78.03,light rain,26.3544,127.8686,Kirari Guest House
81,Nishihara,JP,78.08,mist,26.1842,127.7558,Minshuku Agaihama
82,Mehamn,NO,80.55,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
83,Auki,SB,78.35,broken clouds,-8.7676,160.7034,Auki Motel
84,Sao Joao De Pirabas,BR,81.07,broken clouds,-0.7747,-47.1772,POUSADA SOL E MAR
85,Baghdad,IQ,87.71,clear sky,33.3406,44.4009,Baghdad Hotel
86,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
87,Teshie,GH,78.08,overcast clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
88,Salalah,OM,84.29,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
89,Bandarbeyla,SO,79.41,overcast clouds,9.4942,50.8122,JABIR HOTEL
90,Touros,BR,79.81,few clouds,-5.1989,-35.4608,INN NEW HORIZON
91,Fort Wellington,GY,83.5,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
92,Iracoubo,GF,81.21,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
93,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
94,Birjand,IR,82.67,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
95,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
96,Santa,PH,84.02,light rain,17.486,120.4348,Monte Leah Beach Resort
97,Huilong,CN,78.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
